vin,bodystyle,exterior_color,fuel_type,make,mileage,model,price,trim,year
5UXTY5C08L9C58881,SUV,Jet Black,Gasoline,BMW,19941,X3,43998,xDrive30i,2020
ZAM57YTS2K1314996,Sedan,Nero,Gasoline,Maserati,15704,Ghibli,56975,S Q4 GranSport,2019
7FARW1H81KE022698,SUV,Dark Olive Metallic,Gasoline,Honda,37395,CR-V,29595,EX-L,2019
3VWHP7AT9EM632013,Hatchback,Sky Blue,Gasoline,Volkswagen,120231,Beetle,13990,2.5L PZEV,2014
1GYFZER48KF141976,SUV,Stellar Black Metallic,Gasoline,Cadillac,25469,XT4,35739,Sport,2019
WA1BNAFY9K2120930,SUV,Mythos Black Metallic,Gasoline,Audi,12493,Q5,44499,2.0T Premium Plus,2019
SALWR2RV2KA846338,SUV,Santorini Black,Gasoline,Land Rover,23709,Range Rover Sport,74777,3.0L Supercharged HSE,2019
WBS33AZ07NCH90895,Coupe,Blue,Gasoline Fuel,BMW,10750,M4,99999,Competition,2022
JTMRFREV9JJ257023,SUV,Galactic Aqua,Gasoline,Toyota,15569,RAV4,28995,XLE,2018
JTJBM7FX3G5148342,SUV,Black,Gasoline,Lexus,54482,GX 460,37637,Base,2016
5NPD84LF6LH540087,Sedan,Gray,Gasoline,Hyundai,48001,Elantra,17549,SEL,2020
1GNKVGKD7FJ322700,SUV,Silver,Gasoline,Chevrolet,91770,Traverse,18990,1LT,2015
1FAHP60A45Y108923,Convertible,Silver,Gasoline,Ford,66371,Thunderbird,16999,50th Anniversary,2005
1FM5K8D84JGB60417,SUV,Magnetic Metallic,Gasoline,Ford,72360,Explorer,28793,XLT,2018
SALCJ2FX7MH883685,SUV,Eiger Grey,Gasoline,Land Rover,17169,Discovery Sport,40999,S,2021
KM8R7DHE1NU358603,SUV,Rainforest,Gasoline,Hyundai,13508,Palisade,58998,Calligraphy,2022
5UXTY3C0XLLU69312,SUV,Black Sapphire Metallic,Gasoline,BMW,24026,X3,43553,sDrive30i,2020
5TDJZ3DC1HS165029,Passenger Van,White,Gasoline,Toyota,90075,Sienna,24388,LE,2017
7FARW2H86KE022606,SUV,Crystal Black Pearl,Gasoline,Honda,20859,CR-V,32222,EX-L,2019
SCBCR63W25C025285,Coupe,Black,Gasoline,Bentley,29644,Continental GT,55895,LX,2005
1HGCR2F11HA251177,Sedan,Red,Gasoline,Honda,58993,Accord,23390,Sport SE,2017
JF2GTAEC4K8322788,SUV,Sunshine Orange,Gasoline,Subaru,19168,Crosstrek,28884,2.0i Premium,2019
JTJBM7FXXK5217973,SUV,Starfire Pearl,Gasoline,Lexus,22313,GX 460,46998,Base,2019
5UXKR0C54G0U08788,SUV,Imperial Blue Metallic,Gasoline,BMW,52079,X5,32499,xDrive35i,2016
5J6RW2H89KL022893,SUV,Crystal Black Pearl,Gasoline,Honda,44121,CR-V,35500,EX-L,2019
5TDYY5G19HS067535,SUV,Blizzard Pearl,Gasoline,Toyota,35163,Sequoia,54616,Platinum,2017
4S4WMAPD8K3485921,SUV,Crystal Black Silica,Gasoline,Subaru,13650,Ascent,41928,Limited 7-Passenger,2019
55SWF4JB2JU267884,Sedan,Black,Gasoline,Mercedes-Benz,60536,C-Class,28991,C 300,2018
WDDPK6GA2JF149637,Convertible,Black,Gasoline,Mercedes-Benz,33356,AMG SLC 43,48990,Base,2018
JN1BJ1CW9LW365566,SUV,Brilliant Silver Metallic,Gasoline,Nissan,13590,Rogue Sport,26000,S,2020
KM8R7DHE1NU339873,SUV,Hyper White,Gasoline,Hyundai,11940,Palisade,56000,Calligraphy,2022
5J6RW1H87KA036863,SUV,Crystal Black Pearl,Gasoline,Honda,24886,CR-V,29510,EX-L,2019
WP0AA2A70FL005294,Hatchback,Yachting Blue Metallic,Gasoline,Porsche,97227,Panamera,35297,4,2015
YV4102RL3M1699828,SUV,Onyx Black Metallic,Gasoline,Volvo,13283,XC60,52384,T5 Inscription,2021
3N1AB8CVXMY207580,Sedan,Scarlet Ember,Gasoline,Nissan,32598,Sentra,23600,SV,2021
WA1EECF39M1123851,SUV,Ibis White,Gasoline,Audi,18598,Q3,42998,45 S line Premium,2021
WA1AVAF1XKD021911,SUV,Samurai Gray Metallic,Gasoline,Audi,21893,Q8,62500,3.0T Premium,2019
